Player,Team,Position,GW,FPTS,Default FPTS,Delta,Ghost Points,Default Ghosts,Delta Ghosts,Negative Fpts,Default Negative FPTS,Delta Negative FPTS,GS:GP,FPts/90,Ghosts/90,GPR,Ros Rank,GS,GP,G,KP,AT,SOT,TKW,YC,RC,ACNC,INT,CLR,BS,DW,DL,LBA,PEN,PKM,PKD,OG,GAO,CS,PTS,DPT,OFF,PKG,MIN,FP/G,FPTS/GS
Scott McKenna,NOT,D,5,33.25,35.25,-2.0,33.0,41.25,-8.25,-1.75,-12.0,10.25,0.50,7.2,7.14,0.99,200,5,5,0,3,0,0,0,0,0,0,5,25,4,26,7,7,0,0,0,0,6,1,0.0,3.0,0.0,0.0,416,6.65,6.65
Ibrahima Konate,LIV,D,10,33.25,32.25,1.0,27.0,30.25,-3.25,-5.75,-10.0,4.25,0.40,8.03,6.52,0.81,124,4,7,0,2,0,0,4,1,0,0,2,17,4,22,19,7,0,0,0,0,4,2,0.0,9.0,0.0,0.0,373,4.75,8.31
Harry Toffolo,NOT,D,10,32.25,32.0,0.25,24.25,25.0,-0.75,-3.0,-6.0,3.0,0.20,12.7,9.55,0.75,200,2,4,0,3,1,2,0,0,0,3,6,8,3,5,12,3,0,0,0,0,3,1,1.0,3.0,0.0,0.0,229,8.06,16.12
Raphael Varane,MUN,D,9,32.25,30.75,1.5,22.75,25.75,-3.0,-1.5,-11.0,9.5,0.40,8.91,6.28,0.71,200,4,6,1,1,0,2,4,0,0,0,1,19,2,13,6,6,0,0,0,0,5,1,1.0,2.0,1.0,0.0,326,5.38,8.06
Jean-Philippe Mateta,CRY,F,10,32.0,33.0,-1.0,21.75,26.0,-4.25,-10.75,-11.0,0.25,0.30,7.8,5.3,0.68,200,3,8,0,6,3,2,2,1,0,0,1,3,0,18,39,0,0,0,0,0,7,2,3.0,8.0,2.0,0.0,369,4.0,10.67
Elijah Adebayo,LUT,F,10,32.0,31.0,1.0,24.25,25.0,-0.75,-10.25,-3.0,-7.25,0.40,8.12,6.15,0.76,200,4,10,2,6,0,2,0,0,0,0,3,7,0,19,41,0,0,0,0,0,7,0,1.0,9.0,3.0,0.0,355,2.99,8.0
Murillo,NOT,M,10,31.75,28.5,3.25,36.25,30.5,5.75,-5.5,-3.0,-2.5,0.40,7.94,9.06,1.14,138,4,4,0,2,0,2,3,1,0,0,4,25,3,24,18,14,0,0,0,0,6,1,0.0,7.0,0.0,0.0,360,7.94,7.94
Joel Ward,CRY,D,10,31.25,26.5,4.75,46.25,46.0,0.25,-19.0,-37.5,18.5,0.90,3.51,5.19,1.48,200,9,9,0,0,0,0,13,3,0,1,6,24,3,43,44,9,0,0,0,1,13,3,0.0,19.0,0.0,0.0,802,3.47,3.47
Alex Iwobi,FUL,M,10,31.0,40.0,-9.0,34.75,43.0,-8.25,-3.75,-3.0,-0.75,0.40,6.55,7.35,1.12,105,4,8,0,9,0,3,4,0,0,2,4,1,0,18,15,10,0,0,0,0,6,0,0.0,0.0,4.0,0.0,426,3.88,7.75
Jacob Brown,LUT,F,10,31.0,26.5,4.5,42.5,28.5,14.0,-18.5,-8.0,-10.5,0.70,5.01,6.87,1.37,200,7,10,0,5,1,4,4,2,0,3,4,5,1,35,66,3,0,0,0,0,13,0,0.0,13.0,6.0,0.0,557,2.99,4.43
Joelinton,NEW,M,10,31.0,42.5,-11.5,39.5,45.5,-6.0,-9.5,-4.0,-5.5,0.60,6.11,7.79,1.27,79,6,7,0,8,0,3,9,1,0,0,6,4,2,23,34,2,0,0,0,0,6,1,0.0,14.0,0.0,0.0,456,4.43,5.17
Neal Maupay,BRF,F,10,30.75,31.5,-0.75,24.25,26.5,-2.25,-7.5,-7.0,-0.5,0.20,10.64,8.39,0.79,200,2,7,0,4,2,8,0,2,0,1,1,2,0,3,22,1,0,0,0,0,4,2,2.0,9.0,2.0,0.0,260,4.39,15.38
Lewis Cook,BOU,M,9,30.75,35.0,-4.25,42.75,43.0,-0.25,-13.0,-9.0,-4.0,0.60,5.29,7.36,1.39,200,6,7,0,4,0,1,8,0,1,0,16,2,3,23,24,7,0,0,0,0,14,1,0.0,14.0,0.0,0.0,523,4.39,5.12
Arnaut Danjuma Groeneveld,EVE,F,9,30.75,34.5,-3.75,25.75,28.5,-2.75,-4.0,-3.0,-1.0,0.30,7.65,6.41,0.84,200,3,8,1,3,0,6,1,0,0,0,2,0,0,16,16,1,0,0,0,0,8,0,1.0,2.0,2.0,0.0,362,3.84,10.25
Ansu Fati,BHA,F,10,30.25,30.5,-0.25,17.25,15.5,1.75,-5.0,-3.0,-2.0,0.00,16.01,9.13,0.57,99,0,6,2,2,0,5,1,1,0,0,0,1,0,7,16,4,0,0,0,0,5,0,2.0,7.0,0.0,0.0,170,5.04,inf
Kevin Schade,BRF,M,5,30.25,35.0,-4.75,20.75,20.5,0.25,-7.5,-1.5,-6.0,0.30,10.77,7.38,0.69,200,3,5,1,3,1,2,1,0,0,2,1,3,0,19,30,0,0,0,0,0,2,1,1.0,7.0,1.0,0.0,253,6.05,10.08
Cameron Archer,SHU,F,10,30.25,33.0,-2.75,26.75,31.0,-4.25,-12.5,-13.0,0.5,0.60,5.1,4.51,0.88,200,6,8,1,7,1,3,1,2,0,0,1,0,1,22,42,1,0,0,0,0,20,0,1.0,11.0,4.0,0.0,534,3.78,5.04
Idrissa Gueye,EVE,M,7,30.0,29.0,1.0,37.25,34.5,2.75,-7.25,-5.5,-1.75,0.70,5.02,6.23,1.24,200,7,7,0,5,0,1,10,1,0,1,5,4,1,32,25,5,0,0,0,0,10,0,0.0,11.0,0.0,0.0,538,4.29,4.29
Max Aarons,BOU,D,10,29.5,11.75,17.75,54.75,46.75,8.0,-11.25,-41.0,29.75,0.90,3.36,6.23,1.86,200,9,10,0,4,0,0,12,1,0,3,4,11,5,54,37,12,1,0,0,0,18,1,0.0,12.0,2.0,0.0,791,2.95,3.28
Antony,MUN,F,10,29.25,32.0,-2.75,37.75,38.0,-0.25,-8.5,-6.0,-2.5,0.50,6.59,8.5,1.29,85,5,7,0,8,0,4,2,2,0,1,5,0,0,27,26,5,0,0,0,0,5,1,0.0,11.0,0.0,0.0,400,4.18,5.85
Ashley Young,EVE,D,9,29.0,22.75,6.25,51.25,55.25,-4.0,-18.25,-38.5,20.25,0.90,3.53,6.24,1.77,200,9,9,0,9,0,1,10,3,1,4,6,13,3,32,33,12,0,0,0,0,12,1,0.0,24.0,0.0,0.0,739,3.22,3.22
Sasa Kalajdzic,WOL,F,10,28.75,28.0,0.75,13.0,12.5,0.5,-2.25,-2.5,0.25,0.00,57.5,26.0,0.45,200,0,6,2,2,0,2,1,1,0,0,1,3,0,9,5,1,0,0,0,0,1,0,2.0,4.0,0.0,0.0,45,4.79,inf
Dara O'Shea,BUR,D,10,28.25,22.5,5.75,50.5,53.5,-3.0,-3.25,-38.0,34.75,0.50,5.14,9.18,1.79,200,5,6,0,2,1,0,2,0,0,0,12,30,11,23,13,22,0,0,0,0,19,0,1.0,5.0,0.0,0.0,495,4.71,5.65
Matheus Nunes,MCI,M,8,28.25,31.5,-3.25,33.25,34.5,-1.25,-13.0,-10.0,-3.0,0.40,7.13,8.4,1.18,200,4,6,0,4,1,0,3,0,1,2,6,5,1,34,24,2,0,0,0,0,7,1,1.0,9.0,3.0,0.0,356,4.71,7.06
Victor Lindelof,MUN,D,10,28.0,22.25,5.75,28.75,30.75,-2.0,-7.75,-21.5,13.75,0.70,3.75,3.85,1.03,200,7,9,0,6,1,0,2,1,0,0,6,11,4,11,27,14,0,0,0,0,9,1,1.0,9.0,2.0,0.0,672,3.11,4.0
Said Benrahma,WHU,M,10,27.75,41.0,-13.25,29.5,39.0,-9.5,-9.75,-5.0,-4.75,0.30,6.89,7.32,1.06,200,3,8,0,9,1,4,1,1,0,1,2,2,0,16,35,2,0,0,0,0,5,1,1.0,7.0,1.0,0.0,363,3.47,9.25
David Brooks,BOU,M,9,27.75,35.0,-7.25,23.5,28.5,-5.0,-4.75,-2.5,-2.25,0.20,11.47,9.71,0.85,200,2,8,1,6,0,4,4,1,0,1,2,2,0,7,15,2,0,0,0,0,3,0,1.0,9.0,0.0,0.0,218,3.47,13.88
Orel Mangala,NOT,M,10,27.75,24.0,3.75,38.5,34.5,4.0,-12.75,-12.5,-0.25,0.90,3.42,4.74,1.39,200,9,9,0,4,0,0,6,4,0,0,12,6,2,29,35,6,0,0,0,0,12,2,0.0,26.0,0.0,0.0,731,3.08,3.08
Ibrahim Sangare,NOT,M,10,27.5,24.5,3.0,37.25,32.0,5.25,-11.75,-9.5,-2.25,0.60,5.35,7.25,1.35,200,6,6,0,2,0,0,10,4,0,0,6,6,4,32,31,11,0,0,0,0,7,2,0.0,21.0,1.0,0.0,463,4.58,4.58
Milos Kerkez,BOU,D,10,27.5,14.0,13.5,58.5,54.5,4.0,-17.0,-46.5,29.5,0.90,3.25,6.91,2.13,200,9,10,0,2,0,0,11,1,0,6,8,22,2,56,44,6,0,0,0,1,18,1,0.0,17.0,0.0,0.0,761,2.75,3.06
Kenny Tete,FUL,D,5,27.25,22.5,4.75,33.0,32.0,1.0,-7.75,-21.5,13.75,0.50,5.75,6.96,1.21,200,5,5,0,1,0,0,6,2,0,4,7,16,1,23,19,6,1,0,0,0,8,2,0.0,13.0,0.0,0.0,427,5.45,5.45
Aaron Hickey,BRF,D,10,27.0,4.0,23.0,37.25,28.5,8.75,-12.25,-36.5,24.25,0.90,3.41,4.7,1.38,200,9,9,0,1,0,1,9,5,0,0,3,10,3,38,29,9,0,0,0,0,12,2,0.0,25.0,0.0,0.0,713,3.0,3.0
Marc Cucurella,CHE,D,10,26.75,21.25,5.5,30.75,29.75,1.0,-8.0,-14.5,6.5,0.40,6.88,7.9,1.15,200,4,4,0,2,0,1,7,3,0,0,6,11,1,24,20,6,0,0,0,0,4,1,0.0,13.0,0.0,0.0,350,6.69,6.69
Frank Onyeka,BRF,M,10,26.75,27.0,-0.25,34.0,33.0,1.0,-8.25,-7.0,-1.25,0.10,10.57,13.44,1.27,200,1,8,0,5,0,2,7,3,0,3,5,5,0,24,21,1,0,0,0,0,6,1,0.0,17.0,0.0,0.0,228,3.34,26.75
Harvey Barnes,NEW,M,6,26.5,24.5,2.0,13.0,12.5,0.5,-3.5,-4.0,0.5,0.20,13.32,6.53,0.49,200,2,6,1,2,1,2,0,1,0,0,1,0,0,12,10,0,0,0,0,0,2,1,2.0,4.0,0.0,0.0,179,4.42,13.25
Danny Welbeck,BHA,F,9,26.25,26.0,0.25,24.5,23.0,1.5,-7.25,-6.0,-1.25,0.70,5.82,5.43,0.93,200,7,8,1,5,0,3,3,1,0,0,2,6,0,17,25,0,0,0,0,0,7,2,1.0,7.0,1.0,0.0,406,3.28,3.75
Mads Roerslev,BRF,D,10,26.0,28.25,-2.25,28.75,31.75,-3.0,-6.75,-9.5,2.75,0.30,7.1,7.86,1.11,200,3,8,0,5,0,0,5,0,0,7,1,15,0,16,27,6,0,0,0,0,4,1,0.0,1.0,0.0,0.0,329,3.25,8.67
Harry Maguire,MUN,D,10,25.75,17.5,8.25,26.5,24.5,2.0,-1.75,-14.0,12.25,0.30,7.87,8.1,1.03,200,3,5,0,1,1,0,2,0,0,1,3,10,3,16,7,28,0,0,0,0,7,0,1.0,4.0,1.0,0.0,294,5.15,8.58
Jordan Beyer,BUR,D,7,25.5,4.0,21.5,48.0,32.5,15.5,-8.5,-28.5,20.0,0.60,4.57,8.6,1.88,200,6,6,0,0,0,0,12,3,0,0,8,26,6,34,22,18,0,0,0,0,12,0,0.0,13.0,0.0,0.0,502,4.1,4.25
Brennan Johnson,TOT,F,10,25.25,23.5,1.75,23.25,21.0,2.25,-5.0,-3.5,-1.5,0.40,6.68,6.15,0.92,109,4,7,0,4,1,2,3,1,0,1,1,1,1,20,16,2,0,0,0,0,8,0,1.0,6.0,2.0,0.0,340,3.61,6.31
Jhon Duran,AVL,F,7,25.0,25.5,-0.5,12.0,13.0,-1.0,-5.0,-5.5,0.5,0.00,35.71,17.14,0.48,200,0,6,2,1,0,3,2,2,0,0,0,1,0,7,12,1,0,0,0,0,0,0,2.0,12.0,0.0,0.0,63,4.17,inf
James Mcatee,SHU,M,10,25.0,33.0,-8.0,26.25,32.5,-6.25,-9.25,-6.5,-2.75,0.50,5.87,6.16,1.05,200,5,7,0,7,1,2,6,1,0,1,1,1,0,20,33,0,0,0,0,0,16,1,0.0,6.0,0.0,0.0,383,3.57,5.0
Johann Gudmundsson,BUR,M,10,24.75,24.5,0.25,21.0,21.5,-0.5,-3.25,-3.0,-0.25,0.40,8.87,7.53,0.85,200,4,5,0,5,1,0,2,1,0,2,5,4,0,13,9,2,0,0,0,0,6,0,1.0,5.0,0.0,0.0,251,4.95,6.19
Luca Koleosho,BUR,F,10,24.75,49.5,-24.75,36.5,49.5,-13.0,-18.75,-6.0,-12.75,0.80,3.57,5.27,1.47,200,8,10,0,9,1,2,3,0,0,2,1,0,0,38,75,0,0,0,0,0,19,1,1.0,10.0,5.0,0.0,624,2.69,3.09
Jonny Evans,MUN,D,10,24.75,22.25,2.5,22.25,25.75,-3.5,-4.5,-16.5,12.0,0.40,6.25,5.62,0.9,200,4,5,0,3,1,0,2,1,0,0,3,19,1,17,14,4,0,0,0,0,7,1,1.0,7.0,0.0,0.0,356,4.95,6.19
Thomas Partey,ARS,M,8,24.25,26.5,-2.25,25.5,27.0,-1.5,-2.25,-1.5,-0.75,0.30,8.75,9.21,1.05,200,3,4,0,3,0,1,5,0,0,2,4,2,1,16,9,10,0,0,0,0,2,1,0.0,0.0,0.0,0.0,249,6.06,8.08
Toti,WOL,D,10,24.25,16.25,8.0,21.25,21.75,-0.5,-2.0,-12.5,10.5,0.40,5.31,4.65,0.88,200,4,7,0,1,1,0,5,0,0,0,5,7,5,10,8,4,0,0,0,0,6,0,1.0,4.0,1.0,0.0,411,3.46,6.06
Ryan Yates,NOT,M,10,24.25,19.0,5.25,32.75,23.5,9.25,-9.5,-5.5,-4.0,0.30,6.2,8.38,1.35,200,3,8,0,1,0,0,7,2,0,1,6,11,4,28,30,2,0,0,0,0,8,1,0.0,19.0,1.0,0.0,352,3.03,8.08
Mahmoud Dahoud,BHA,M,10,24.0,28.5,-4.5,20.75,25.0,-4.25,-4.75,-3.5,-1.25,0.40,6.92,5.98,0.86,200,4,6,0,9,1,0,3,1,0,1,1,4,1,10,15,5,0,0,0,0,4,1,1.0,7.0,0.0,0.0,312,4.0,6.0
Jamaal Lascelles,NEW,D,10,23.75,30.0,-6.25,22.75,29.0,-6.25,-7.0,-11.0,4.0,0.40,5.7,5.46,0.96,200,4,5,0,1,0,0,2,1,0,0,1,12,4,23,24,5,0,0,0,0,4,2,0.0,12.0,0.0,0.0,375,4.75,5.94
Jayden Bogle,SHU,D,10,23.5,20.75,2.75,26.0,29.75,-3.75,-8.5,-32.0,23.5,0.60,4.44,4.91,1.11,200,6,7,1,2,1,1,2,1,0,2,7,11,1,15,30,3,0,0,0,0,14,1,1.0,15.0,3.0,0.0,476,3.36,3.92
Emerson Royal,TOT,D,10,23.25,18.5,4.75,20.0,17.0,3.0,-3.75,-8.5,4.75,0.10,11.23,9.66,0.86,200,1,7,1,0,0,1,5,0,0,0,1,12,2,17,15,4,0,0,0,0,4,0,1.0,4.0,0.0,0.0,186,3.32,23.25
Mohammed Kudus,WHU,M,10,23.25,24.5,-1.25,21.0,22.5,-1.5,-6.75,-7.0,0.25,0.10,11.62,10.5,0.9,46,1,7,1,1,0,2,5,1,0,0,1,1,0,22,23,5,0,0,0,0,7,0,1.0,6.0,1.0,0.0,180,3.32,23.25
Pablo Sarabia,WOL,M,9,22.75,28.5,-5.75,19.0,25.5,-6.5,-4.25,-4.0,-0.25,0.20,11.21,9.36,0.84,200,2,5,0,8,1,2,2,1,0,1,0,0,1,7,13,2,0,0,0,0,1,1,1.0,6.0,3.0,0.0,183,4.55,11.38
Jack Robinson,SHU,D,10,22.75,7.0,15.75,61.75,62.0,-0.25,-8.0,-62.0,54.0,0.90,2.4,6.51,2.71,200,9,10,0,3,1,0,10,2,0,0,9,40,11,34,24,27,0,0,0,0,29,0,1.0,10.0,0.0,0.0,853,2.28,2.53
Lloyd Kelly,BOU,D,10,22.25,19.5,2.75,30.25,32.0,-1.75,-6.0,-18.5,12.5,0.50,4.4,5.98,1.36,200,5,6,0,3,0,0,7,1,0,0,4,16,4,18,20,11,0,0,0,0,8,1,0.0,7.0,0.0,0.0,455,3.71,4.45
Callum Hudson-Odoi,NOT,F,8,22.0,29.0,-7.0,17.25,21.0,-3.75,-4.25,-1.0,-3.25,0.30,8.73,6.85,0.78,200,3,4,1,4,0,2,1,0,0,0,0,2,0,13,17,7,0,0,0,0,2,1,1.0,5.0,2.0,0.0,227,5.5,7.33
Jan-Paul van Hecke,BHA,D,9,21.75,19.75,2.0,25.75,27.75,-2.0,-4.0,-8.0,4.0,0.30,6.59,7.8,1.18,200,3,5,0,0,0,1,2,1,0,0,5,11,7,14,12,4,0,0,0,0,3,0,0.0,3.0,0.0,0.0,297,4.35,7.25
Pelly Ruddock,LUT,M,10,21.75,19.0,2.75,27.25,21.5,5.75,-5.5,-2.5,-3.0,0.50,3.96,4.96,1.25,200,5,10,0,4,0,0,1,0,0,2,5,5,2,19,22,12,0,0,0,0,9,0,0.0,4.0,0.0,0.0,494,2.17,4.35
Amari'i Bell,LUT,D,7,21.75,9.5,12.25,39.5,34.0,5.5,-5.75,-24.5,18.75,0.70,3.5,6.35,1.82,200,7,7,0,1,0,1,13,0,0,0,5,16,2,32,23,12,0,0,0,0,12,0,0.0,3.0,0.0,0.0,560,3.54,3.11
Mateo Kovacic,MCI,M,10,21.5,22.5,-1.0,24.75,25.5,-0.75,-6.25,-6.0,-0.25,0.50,4.23,4.87,1.15,200,5,7,0,5,0,1,8,2,0,0,1,3,0,21,17,6,0,0,0,0,3,3,0.0,13.0,0.0,0.0,457,3.07,4.3
Charlie Taylor,BUR,D,10,21.5,5.25,16.25,38.25,26.25,12.0,-9.75,-31.0,21.25,0.70,3.07,5.46,1.78,200,7,7,1,1,0,1,4,3,0,1,4,18,4,29,27,21,0,0,0,0,14,0,1.0,13.0,0.0,0.0,630,3.27,3.07
Sofyan Amrabat,MUN,M,10,21.5,14.0,7.5,27.5,20.0,7.5,-6.0,-6.0,0.0,0.40,6.2,7.93,1.28,200,4,5,0,3,0,0,7,2,0,0,3,4,2,21,16,18,0,0,0,0,4,0,0.0,15.0,0.0,0.0,312,4.3,5.38
Ross Barkley,LUT,M,10,21.25,24.5,-3.25,25.0,27.5,-2.5,-3.75,-3.0,-0.75,0.30,7.33,8.62,1.18,200,3,5,0,5,0,1,2,0,0,0,4,3,1,20,15,5,0,0,0,0,8,0,0.0,2.0,0.0,0.0,261,4.25,7.08
Carlos Baleba,BHA,M,10,21.0,17.5,3.5,26.0,21.0,5.0,-5.0,-3.5,-1.5,0.30,7.78,9.63,1.24,200,3,5,0,1,0,1,5,1,0,0,6,3,2,21,16,5,0,0,0,0,6,0,0.0,8.0,0.0,0.0,243,4.2,7.0
Raul Jimenez,FUL,F,10,21.0,25.0,-4.0,34.75,35.0,-0.25,-13.75,-10.0,-3.75,0.80,3.12,5.17,1.65,200,8,9,0,5,0,3,5,1,0,0,0,6,2,34,51,3,0,0,0,0,12,2,0.0,7.0,7.0,0.0,605,2.33,2.62
Julio Enciso,BHA,F,2,21.0,22.0,-1.0,8.75,12.0,-3.25,-1.75,-2.0,0.25,0.10,28.38,11.82,0.42,136,1,2,0,2,2,1,0,1,0,0,0,0,0,9,3,1,0,0,0,0,1,0,2.0,3.0,1.0,0.0,67,10.5,21.0
Tahith Chong,LUT,M,10,20.5,12.5,7.5,29.5,18.0,10.0,-9.0,-5.5,-2.5,0.50,3.99,5.74,1.44,200,5,8,0,1,0,2,5,2,0,4,3,0,0,27,28,6,0,0,0,0,11,0,0.0,8.0,1.0,0.0,463,2.56,4.1
Ivan Perisic,TOT,M,5,20.5,24.5,-4.0,17.25,22.5,-5.25,-3.75,-4.0,0.25,0.00,19.9,16.75,0.84,200,0,5,0,5,1,0,2,2,0,2,2,1,0,13,7,2,0,0,0,0,1,0,1.0,8.0,0.0,0.0,93,4.1,inf
Beto,EVE,F,9,20.25,30.5,-10.25,29.0,34.0,-5.0,-8.75,-3.5,-5.25,0.30,6.51,9.32,1.43,200,3,6,0,5,0,1,4,0,0,0,0,5,0,37,35,1,0,0,0,0,5,1,0.0,4.0,1.0,0.0,280,3.38,6.75
Joe Worrall,NOT,D,9,20.0,16.5,3.5,31.0,33.5,-2.5,-11.0,-23.0,12.0,0.50,4.14,6.42,1.55,200,5,6,0,2,0,0,5,0,1,0,3,26,4,20,16,12,0,0,0,0,8,1,0.0,9.0,0.0,0.0,435,3.33,4.0
Takehiro Tomiyasu,ARS,D,10,19.75,22.25,-2.5,14.5,17.75,-3.25,-9.75,-11.5,1.75,0.10,7.78,5.71,0.73,200,1,8,1,0,0,2,0,0,1,0,4,7,0,8,11,3,0,0,0,0,2,1,1.0,9.0,0.0,0.0,229,2.47,19.75
Luke Shaw,MUN,D,2,19.5,22.75,-3.25,17.5,23.25,-5.75,-2.0,-6.5,4.5,0.20,9.75,8.75,0.9,75,2,2,0,6,0,0,2,1,0,0,2,9,3,5,4,3,0,0,0,0,2,1,0.0,5.0,0.0,0.0,180,9.75,9.75
Jacob Bruun Larsen,BUR,F,10,19.25,14.5,4.75,14.75,16.0,-1.25,-4.5,-1.5,-3.0,0.00,10.64,8.15,0.77,200,0,9,1,3,0,2,1,0,0,0,1,3,0,10,18,2,0,0,0,0,4,0,0.0,5.0,2.0,0.0,163,1.75,inf
Ryan Giles,LUT,M,10,19.25,22.5,-3.25,20.75,22.5,-1.75,-1.5,0.0,-1.5,0.30,6.25,6.74,1.08,200,3,5,0,4,0,1,3,0,0,6,1,7,0,8,6,2,0,0,0,0,8,0,0.0,0.0,0.0,0.0,277,3.85,6.42
Chris Basham,SHU,D,8,19.0,15.25,3.75,27.25,30.25,-3.0,-6.25,-15.0,8.75,0.30,5.49,7.88,1.43,200,3,8,0,2,0,0,2,1,0,0,5,17,4,20,21,4,0,0,0,0,6,0,0.0,6.0,2.0,0.0,311,2.38,6.33
Carlos Vinicius,FUL,F,9,19.0,24.5,-5.5,14.25,18.0,-3.75,-4.25,-2.5,-1.75,0.20,8.76,6.57,0.75,200,2,5,1,4,0,3,0,0,0,0,0,1,0,8,17,0,0,0,0,0,2,0,1.0,3.0,4.0,0.0,195,3.8,9.5
Ola Aina,NOT,D,10,18.75,7.25,11.5,30.25,30.75,-0.5,-7.5,-29.5,22.0,0.60,3.62,5.84,1.61,200,6,7,0,1,0,0,10,3,0,0,3,15,2,29,18,4,0,0,0,0,11,1,0.0,15.0,2.0,0.0,466,2.68,3.12
Wilson Odobert,BUR,F,9,18.25,22.5,-4.25,12.25,16.0,-3.75,-3.0,-2.5,-0.5,0.20,11.34,7.61,0.67,200,2,3,1,2,0,2,2,1,0,0,0,1,0,10,8,0,0,0,0,0,6,0,1.0,4.0,0.0,0.0,145,6.08,9.12
Konstantinos Tsimikas,LIV,D,10,18.25,22.75,-4.5,9.25,11.25,-2.0,-3.0,-0.5,-2.5,0.20,10.67,5.41,0.51,73,2,3,0,2,0,0,2,0,0,2,0,1,0,7,12,2,0,0,0,0,0,2,0.0,4.0,0.0,0.0,154,6.08,9.12
Emile Smith Rowe,ARS,M,10,18.25,19.0,-0.75,12.25,13.5,-1.25,-2.0,-1.5,-0.5,0.10,16.15,10.84,0.67,200,1,4,0,1,1,3,0,0,0,0,1,0,1,6,8,1,0,0,0,0,0,1,1.0,3.0,0.0,0.0,102,4.56,18.25
Alejandro Garnacho,MUN,M,10,18.0,19.5,-1.5,22.75,23.0,-0.25,-5.75,-4.5,-1.25,0.20,6.87,8.68,1.26,200,2,8,0,4,0,2,2,0,0,1,2,1,0,19,23,4,0,0,0,0,4,1,0.0,3.0,4.0,0.0,236,2.25,9.0
Hannibal Mejbri,MUN,M,6,17.75,19.0,-1.25,10.75,11.5,-0.75,-3.0,-2.5,-0.5,0.10,13.87,8.4,0.61,200,1,2,1,2,0,1,3,1,0,0,0,0,1,8,8,1,0,0,0,0,1,1,1.0,5.0,1.0,0.0,115,8.88,17.75
Tariq Lamptey,BHA,D,7,17.75,13.5,4.25,11.75,14.0,-2.25,-4.0,-14.5,10.5,0.10,11.83,7.83,0.66,200,1,4,0,2,2,0,3,2,0,0,2,0,0,11,8,3,0,0,0,0,5,0,2.0,9.0,0.0,0.0,135,4.44,17.75
Anel Ahmedhodzic,SHU,D,8,17.5,6.75,10.75,58.25,59.75,-1.5,-12.75,-53.0,40.25,0.80,2.19,7.28,3.33,200,8,8,0,0,0,1,12,3,0,0,11,27,11,36,39,14,0,0,0,0,22,0,0.0,20.0,1.0,0.0,720,2.19,2.19
Marcos Senesi,BOU,D,9,17.25,7.75,9.5,37.25,31.25,6.0,-11.0,-30.5,19.5,0.50,3.54,7.65,2.16,200,5,8,0,2,1,0,6,1,0,0,3,25,5,23,40,26,0,0,0,0,14,0,1.0,14.0,0.0,0.0,438,2.16,3.45
Sasa Lukic,FUL,M,10,17.0,15.5,1.5,21.0,18.5,2.5,-5.0,-4.0,-1.0,0.40,4.57,5.65,1.24,200,4,6,0,2,0,1,4,1,0,0,3,4,2,15,16,6,0,0,0,0,6,1,0.0,8.0,0.0,0.0,335,2.83,4.25
Mason Mount,MUN,M,10,17.0,19.5,-2.5,23.25,23.0,0.25,-7.25,-4.5,-2.75,0.40,4.57,6.25,1.37,93,4,6,0,4,0,0,6,1,0,0,3,1,1,22,25,4,0,0,0,0,6,1,0.0,8.0,0.0,0.0,335,2.83,4.25
Jacob Ramsey,AVL,M,7,16.75,15.5,1.25,9.0,7.5,1.5,-1.25,-1.0,-0.25,0.00,32.84,17.65,0.54,200,0,2,1,0,0,2,2,0,0,0,1,0,0,6,5,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,46,8.38,inf
Ryan Gravenberch,LIV,M,10,16.5,18.0,-1.5,19.75,18.0,1.75,-4.25,-1.0,-3.25,0.20,7.97,9.54,1.2,150,2,6,0,1,0,2,2,0,0,0,5,4,0,15,17,1,0,0,0,0,2,1,0.0,4.0,0.0,0.0,186,2.75,8.25
Teden Mengi,LUT,D,10,16.5,5.75,10.75,27.25,15.75,11.5,-2.75,-10.0,7.25,0.30,4.46,7.36,1.65,200,3,5,0,0,0,0,1,0,0,0,10,9,4,14,11,14,0,0,0,0,7,0,0.0,2.0,1.0,0.0,333,2.94,5.5
Nicolo Zaniolo,AVL,M,10,16.25,21.0,-4.75,30.0,32.0,-2.0,-14.75,-12.0,-2.75,0.50,3.93,7.25,1.85,200,5,8,0,6,0,3,3,2,0,0,1,5,0,28,51,1,0,0,0,0,3,1,0.0,17.0,0.0,0.0,373,2.03,3.25
Matt Doherty,WOL,D,9,16.0,17.5,-1.5,21.75,27.5,-5.75,-3.75,-10.0,6.25,0.10,6.43,8.73,1.36,200,1,5,0,4,0,0,1,0,0,1,2,10,1,20,15,3,0,0,0,0,5,0,0.0,4.0,0.0,0.0,224,3.2,16.0
Harvey Elliott,LIV,M,10,15.75,15.5,0.25,11.75,12.5,-0.75,-3.0,-3.0,0.0,0.10,6.56,4.9,0.75,200,1,8,0,3,1,1,1,1,0,0,2,2,0,5,8,5,0,0,0,0,1,0,0.0,3.0,0.0,0.0,216,1.97,15.75
Saman Ghoddos,BRF,F,10,15.5,16.0,-0.5,11.0,13.0,-2.0,-4.5,-6.0,1.5,0.00,26.72,18.97,0.71,200,0,5,1,3,0,1,3,3,0,1,0,1,1,3,6,3,0,0,0,0,2,0,1.0,13.0,1.0,0.0,52,3.1,inf
